"","model.1.mean","model.1.ll","model.1.ul","model.2.mean","model.2.ll","model.2.ul","age","sex"
"78",0.00228055199468167,-0.0125960525390552,0.0158094365533082,0.00534706721226151,-0.0172782799318201,0.028045827070029,75,1
"79",-0.000676831182871839,-0.0172194716095404,0.0133704795006408,-0.0106405101860129,-0.0336511859216254,0.0122772983842896,75,1
"80",0.00260001828514762,-0.0128289231573198,0.0165010279948167,-0.00222848755099055,-0.025595970229029,0.0210527804996991,75,1
"81",0.0083127225814256,-0.00558135960561914,0.0229787581909854,0.0167166879673019,-0.00710317749768355,0.0406358912471519,75,1
"82",0.00844856552181498,-0.00438622497607462,0.0210922678369043,0.00754888208780493,-0.0122054695901616,0.0272533641875029,75,1
"83",0.00981006000062093,-0.0010572228141656,0.0203827684028556,0.00942178531554633,-0.00541105928131313,0.0242628138064595,75,1
"84",0.0115382801453814,0.00212593481002644,0.0205034689247803,0.00848845269051319,-0.00301839546773891,0.0200152548812788,75,1
"85",0.00977781106467651,-0.00138640250392443,0.0217514434760473,0.012908303846575,-0.00557381674240042,0.0313874330289878,85,1
"86",0.0107156918892104,-0.00069307760184927,0.0231672193506292,0.0137411519609944,-0.00473739270316263,0.0322498086141121,85,1
"87",0.0105476428309383,-0.00179479509176124,0.0241119453536649,0.0149331586054504,-0.00661226927961212,0.0364444043021198,85,1
"88",0.00862561339279776,-0.00520194414853473,0.0230687699034331,0.00703753934007052,-0.0208287002977306,0.0347582615059344,85,1
"89",0.00766139530509593,-0.00676570791977762,0.0227643551304607,0.0189713119352196,-0.00874847245698886,0.0468870819121248,85,1
"90",0.00292865025798484,-0.0142457596350747,0.017841306833161,-0.00716269402117259,-0.040140225123934,0.0256183063784642,85,1
"91",-0.000272994656475053,-0.019530230456095,0.0150995151203389,-0.023662253957735,-0.0561846183739621,0.00841237721266392,85,1
"92",0.00128114886768175,-0.0166523490000762,0.0164958474910566,0.00359934164116757,-0.0298905284008911,0.0374254243391335,85,1
"93",0.00114619086378108,-0.0166853622337081,0.0160195603989984,-0.00691288151035238,-0.0403233808598364,0.0264206170877287,85,1
"94",0.00206305247482257,-0.0143261296565623,0.0159120936285159,-0.0132142968858737,-0.0421176332052211,0.0153791526552164,85,1
"95",0.00708421779520178,-0.00534529253155427,0.0199331919547113,0.0158770143094964,-0.00551453556166046,0.0373916129139622,85,1
"96",0.00710214542698899,-0.00413156388556455,0.0181891454751872,0.00429929821386494,-0.0123511718009241,0.0209921106092045,85,1
