e,cprov,nprov,year,quarter,pop_tot,pop_men,pop_wom,pop25_39,pop40_49,pop50_64,pop65,suicide_men,suicide_wom,suicide_total,suicide_age40_49,suicide_age50_64,suicide_age65,suicide_age25_39,rate_tot_lag0,rate_men_lag0,rate_wom_lag0,rate_tot_lag3,rate_men_lag3,rate_wom_lag3,rate_tot_lag6,rate_men_lag6,rate_wom_lag6,rate_tot_lag9,rate_men_lag9,rate_wom_lag9,rate_tot_lag12,rate_men_lag12,rate_wom_lag12,rate_tot_lag15,rate_men_lag15,rate_wom_lag15,rate_tot_lag18,rate_men_lag18,rate_wom_lag18,rate_tot_lag21,rate_men_lag21,rate_wom_lag21,rate_tot_lag24,rate_men_lag24,rate_wom_lag24
344,5,Ávila,2004,4,127710,63572,64138,34408,24013,27484,41804,1,0,1,0,0,0,1,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82,8.83,4.74,16.42,7.4,5.7,10.96,11.48,7.91,18.11,8.06,4.76,14.22,10.51,5.83,19.07
345,5,Ávila,2005,1,128191,63840,64353,34566,24231,27648,41747,2,1,3,0,0,1,2,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82,8.83,4.74,16.42,7.4,5.7,10.96,11.48,7.91,18.11,8.06,4.76,14.22
346,5,Ávila,2005,2,128540,64046,64496,34681,24359,27748,41752,5,0,5,0,1,2,2,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82,8.83,4.74,16.42,7.4,5.7,10.96,11.48,7.91,18.11
347,5,Ávila,2005,3,128932,64261,64672,34803,24496,27848,41784,1,0,1,0,0,1,0,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82,8.83,4.74,16.42,7.4,5.7,10.96
348,5,Ávila,2005,4,129407,64496,64911,34938,24650,27946,41872,2,0,2,0,0,1,1,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82,8.83,4.74,16.42
349,5,Ávila,2006,1,129850,64733,65116,35051,24812,28073,41914,2,0,2,1,0,1,0,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87,10.17,5.97,17.82
350,5,Ávila,2006,2,130228,64974,65253,35119,24990,28257,41862,1,1,2,0,0,1,1,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38,10.77,7.32,16.87
351,5,Ávila,2006,3,130646,65238,65406,35202,25174,28451,41818,4,1,5,1,2,2,0,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87,8.54,5.86,13.38
352,5,Ávila,2006,4,131143,65549,65593,35317,25371,28665,41790,4,0,4,0,0,3,1,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5,8.55,6.7,11.87
353,5,Ávila,2007,1,131680,65880,65799,35485,25562,28888,41747,4,0,4,0,0,4,0,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9,8.55,4.11,16.5
354,5,Ávila,2007,2,132297,66253,66044,35757,25740,29129,41671,2,1,3,0,1,2,0,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15,8.18,5.35,12.9
355,5,Ávila,2007,3,132854,66596,66258,35981,25901,29365,41606,4,0,4,0,1,3,0,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02,9.11,5.65,15
356,5,Ávila,2007,4,133291,66879,66412,36110,26026,29591,41563,2,2,4,2,1,1,0,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95,8.52,6.46,12.02
357,5,Ávila,2008,1,133609,67096,66512,36177,26125,29793,41514,2,2,4,2,0,2,0,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73,8.54,4.75,14.95
358,5,Ávila,2008,2,133689,67181,66508,36119,26170,29946,41454,2,0,2,0,0,1,1,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74,5.97,2.95,10.73
359,5,Ávila,2008,3,133780,67259,66520,36040,26216,30106,41418,5,1,6,0,1,2,3,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22,5.57,2.41,10.74
360,5,Ávila,2008,4,133890,67324,66566,35917,26262,30279,41432,1,1,2,1,0,1,0,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28,7.29,3.77,13.22
361,5,Ávila,2009,1,133953,67356,66596,35771,26300,30441,41441,4,1,5,0,3,2,0,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53,7.81,3.92,14.28
362,5,Ávila,2009,2,133919,67322,66597,35580,26320,30578,41440,9,0,9,2,1,6,0,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36,6.83,3.91,11.53
363,5,Ávila,2009,3,133892,67303,66588,35392,26343,30715,41442,6,1,7,0,3,2,2,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73,7.44,5.62,10.36
364,5,Ávila,2009,4,133879,67316,66561,35211,26369,30851,41449,2,0,2,0,0,2,0,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07,5.68,3.01,9.73
365,5,Ávila,2010,1,133847,67306,66539,35022,26367,31003,41455,2,0,2,0,0,2,0,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71,8.83,6.68,12.07
366,5,Ávila,2010,2,133777,67250,66526,34818,26309,31189,41462,7,1,8,1,0,6,1,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63,9.53,6.07,14.71
367,5,Ávila,2010,3,133736,67216,66520,34616,26246,31390,41484,4,1,5,1,0,4,0,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8,11.53,10.11,13.63
368,5,Ávila,2010,4,133752,67225,66527,34420,26172,31622,41537,0,1,1,1,0,0,0,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6,15.21,13.44,17.8
369,5,Ávila,2011,1,133698,67199,66499,34209,26092,31841,41555,4,0,4,0,3,1,0,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73,18.11,15.14,22.6
370,5,Ávila,2011,2,133505,67103,66402,33970,26000,32034,41501,2,0,2,0,0,2,0,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38,16.79,12.89,22.73
371,5,Ávila,2011,3,133334,67019,66317,33737,25914,32231,41452,2,0,2,1,0,1,0,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17,20.11,17.96,23.38
372,5,Ávila,2011,4,133209,66959,66253,33517,25843,32435,41414,2,1,3,0,3,0,0,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31,21.07,19.04,24.17
373,5,Ávila,2012,1,133003,66842,66164,33270,25754,32625,41353,3,0,3,0,1,1,1,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53,25.91,25.02,27.31
374,5,Ávila,2012,2,132633,66609,66025,32971,25629,32788,41244,1,0,1,1,0,0,0,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9,23.47,22.8,24.53
375,5,Ávila,2012,3,132307,66409,65898,32683,25504,32956,41164,5,0,5,1,1,3,0,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32,21.59,18.67,25.9
376,5,Ávila,2012,4,132069,66273,65797,32415,25379,33132,41144,5,0,5,0,2,2,1,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6,22.3,20.18,25.32
377,5,Ávila,2013,1,131781,66107,65676,32118,25260,33278,41125,7,0,7,2,3,2,0,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61,27.56,26.84,28.6
378,5,Ávila,2013,2,131390,65878,65512,31763,25155,33366,41106,6,1,7,1,3,2,1,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77,24.01,24.28,23.61
379,5,Ávila,2013,3,131030,65676,65354,31420,25052,33456,41102,7,0,7,0,3,3,1,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41,21.78,19.76,24.77
380,5,Ávila,2013,4,130734,65527,65206,31102,24954,33548,41130,1,0,1,1,0,0,0,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89,21.89,20.12,24.41
381,5,Ávila,2014,1,130436,65370,65066,30797,24848,33644,41147,4,0,4,1,1,2,0,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02,25.54,24.62,26.89
382,5,Ávila,2014,2,130135,65195,64941,30519,24725,33747,41144,5,0,5,0,3,1,1,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26,26.37,25.26,28.02
383,5,Ávila,2014,3,129880,65053,64829,30239,24616,33875,41151,3,0,3,1,1,1,0,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04,24.03,22.5,26.26
384,5,Ávila,2014,4,129720,64978,64744,29956,24534,34052,41178,1,0,1,0,0,0,1,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68,22.38,20.56,25.04
385,5,Ávila,2015,1,129488,64857,64633,29659,24459,34204,41166,2,2,4,1,1,2,0,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88,27.04,24.37,30.68
386,5,Ávila,2015,2,129112,64643,64471,29331,24398,34305,41078,4,0,4,2,0,2,0,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52,25.87,23.77,28.88
387,5,Ávila,2015,3,128782,64458,64326,29011,24344,34416,41011,6,0,6,0,1,4,1,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42,23.71,21.02,27.52
388,5,Ávila,2015,4,128546,64330,64216,28707,24302,34550,40987,1,1,2,1,0,0,1,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14,25.48,23.39,28.42
389,5,Ávila,2016,1,128273,64177,64094,28395,24233,34686,40960,6,0,6,0,4,2,0,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17,28.6,24.59,34.14
390,5,Ávila,2016,2,127926,63974,63952,28064,24109,34826,40926,0,1,1,0,0,1,0,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03,26.64,23.33,31.17
391,5,Ávila,2016,3,127604,63796,63808,27747,23995,34970,40892,0,1,1,0,0,1,0,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56,23.6,21.14,27.03
392,5,Ávila,2016,4,127329,63668,63660,27455,23900,35120,40854,3,2,5,1,1,1,2,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74,25.33,23.7,27.56
393,5,Ávila,2017,1,126990,63502,63487,27152,23796,35244,40798,6,1,7,1,1,5,0,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58,25.92,24.57,27.74
394,5,Ávila,2017,2,126524,63261,63263,26827,23675,35317,40705,3,0,3,0,1,1,1,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97,23.93,22.63,25.58
395,5,Ávila,2017,3,126146,63063,63084,26525,23572,35404,40646,3,0,3,2,0,1,0,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34,21.01,21.05,20.97
396,5,Ávila,2017,4,125946,62953,62993,26271,23504,35517,40654,4,2,6,0,1,4,1,18.34,18.35,18.33,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47,21.08,19.28,23.34
397,5,Ávila,2018,1,125730,62835,62896,26014,23436,35623,40657,1,0,1,0,0,1,0,18.85,18.61,19.15,18.34,18.35,18.33,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31,26.77,26.21,27.47
398,5,Ávila,2018,2,125485,62704,62784,25755,23365,35713,40652,3,1,4,0,2,1,1,18.05,16.72,19.73,18.85,18.61,19.15,18.34,18.35,18.33,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54,21.43,20.75,22.31
399,5,Ávila,2018,3,125324,62617,62710,25522,23304,35824,40674,4,0,4,0,2,1,1,15.26,15.15,15.39,18.05,16.72,19.73,18.85,18.61,19.15,18.34,18.35,18.33,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65,19.57,18.02,21.54
400,5,Ávila,2018,4,125329,62617,62713,25340,23261,35976,40751,4,3,7,4,0,2,1,13.53,14.85,11.86,15.26,15.15,15.39,18.05,16.72,19.73,18.85,18.61,19.15,18.34,18.35,18.33,14.45,11.59,17.95,18.92,17.2,21.05,20.15,17.74,23.25,17.16,14.24,20.65
401,6,Badajoz,1999,1,438179,212570,225610,153582,75535,96961,112102,10,3,13,3,2,4,4,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43,31.63,25.3,43.79,32.62,26.7,43.7,28.07,22.27,40.02,29.89,22.77,43.53,30.89,24.93,42.89
402,6,Badajoz,1999,2,438891,212949,225942,153604,76169,96790,112328,6,0,6,1,3,0,2,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43,31.63,25.3,43.79,32.62,26.7,43.7,28.07,22.27,40.02,29.89,22.77,43.53
403,6,Badajoz,1999,3,439713,213378,226334,153618,76798,96628,112670,12,1,13,1,4,3,5,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43,31.63,25.3,43.79,32.62,26.7,43.7,28.07,22.27,40.02
404,6,Badajoz,1999,4,440756,213907,226849,153614,77417,96483,113241,12,1,13,2,3,5,3,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43,31.63,25.3,43.79,32.62,26.7,43.7
405,6,Badajoz,2000,1,441722,214397,227325,153556,78137,96247,113781,8,0,8,1,5,0,2,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43,31.63,25.3,43.79
406,6,Badajoz,2000,2,442535,214812,227723,153389,79059,95827,114259,7,3,10,1,3,5,1,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96,30.27,23.27,43
407,6,Badajoz,2000,3,443406,215248,228159,153216,79976,95408,114806,8,1,9,2,2,3,2,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78,30.91,23.89,43.96
408,6,Badajoz,2000,4,444395,215727,228668,153031,80882,94993,115489,4,1,5,0,0,2,3,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64,32.1,24.53,45.78
409,6,Badajoz,2001,1,445350,216202,229148,152868,81714,94634,116134,6,1,7,2,3,0,2,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43,30.22,22.53,43.64
410,6,Badajoz,2001,2,446239,216669,229570,152750,82400,94386,116703,5,1,6,1,3,1,1,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86,25.96,18.76,39.43
411,6,Badajoz,2001,3,447178,217142,230036,152642,83092,94153,117291,7,0,7,1,1,3,2,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82,24.64,17.53,37.86
412,6,Badajoz,2001,4,448218,217629,230589,152554,83798,93948,117918,6,2,8,1,3,3,1,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42,25.6,17.97,38.82
413,6,Badajoz,2002,1,449204,218098,231106,152434,84517,93896,118356,12,1,13,0,2,8,3,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92,25.24,18.23,37.42
414,6,Badajoz,2002,2,450082,218534,231549,152252,85265,94149,118416,12,2,14,0,4,6,4,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39,25.04,17.7,37.92
415,6,Badajoz,2002,3,451098,219042,232057,152112,86027,94412,118547,13,1,14,1,4,7,2,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95,23.98,15.45,39.39
416,6,Badajoz,2002,4,452392,219697,232692,152056,86818,94698,118820,3,3,6,0,0,4,2,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63,23.75,16.24,36.95
417,6,Badajoz,2003,1,453728,220383,233342,152044,87636,95085,118963,9,6,15,1,4,9,1,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97,18.55,13.16,28.63
418,6,Badajoz,2003,2,455152,221129,234022,152119,88510,95677,118846,8,3,11,1,6,2,2,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27,18.09,13.05,27.97
419,6,Badajoz,2003,3,456594,221896,234697,152199,89397,96262,118735,4,3,7,3,1,1,2,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24,17.86,13.29,27
420,6,Badajoz,2003,4,458071,222705,235364,152289,90310,96835,118637,4,0,4,1,1,2,0,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49,16.2,12.12,24.24
421,6,Badajoz,2004,1,459548,223519,236027,152328,91272,97429,118520,8,0,8,2,3,2,1,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28,20.77,15.37,30.49
422,6,Badajoz,2004,2,461025,224342,236683,152264,92333,98064,118363,10,2,12,3,2,3,4,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44,18.9,13.01,29.28
423,6,Badajoz,2004,3,462691,225262,237431,152286,93427,98722,118256,14,3,17,2,3,5,7,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7,19.61,14.64,28.44
424,6,Badajoz,2004,4,464736,226376,238362,152476,94586,99426,118249,10,1,11,0,2,6,3,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07,18.94,15.11,25.7
425,6,Badajoz,2005,1,466566,227360,239208,152678,95637,99976,118275,10,2,12,2,5,5,0,19.65,14.16,28.73,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2,18.94,14.67,26.07
426,6,Badajoz,2005,2,467965,228082,239884,152901,96475,100220,118369,12,1,13,1,8,4,0,16.44,11.77,23.94,19.65,14.16,28.73,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04,15.38,11.83,21.2
427,6,Badajoz,2005,3,469471,228859,240613,153094,97311,100470,118596,10,3,13,1,3,7,2,17.05,12.61,24.08,16.44,11.77,23.94,19.65,14.16,28.73,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16,14.54,10.09,22.04
428,6,Badajoz,2005,4,471191,229745,241446,153225,98146,100730,119090,11,3,14,5,2,5,2,16.58,13.72,21.24,17.05,12.61,24.08,16.44,11.77,23.94,19.65,14.16,28.73,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39,16.58,12.13,24.16
429,6,Badajoz,2006,1,472884,230608,242276,153365,98959,101200,119360,8,1,9,1,3,4,1,17.38,13.97,23.02,16.58,13.72,21.24,17.05,12.61,24.08,16.44,11.77,23.94,19.65,14.16,28.73,20.41,14.65,29.75,16.25,9.55,27.29,18.93,11.75,30.99,16.77,10.65,27.39
