cause,cause.sub
9055,Other external causes of injury
9056,Other external causes of injury
9057,Other external causes of injury
9058,Other external causes of injury
9059,Other external causes of injury
9060,Other external causes of injury
9061,Other external causes of injury
9062,Other external causes of injury
9063,Other external causes of injury
9064,Other external causes of injury
9068,Other external causes of injury
9069,Other external causes of injury
9070,Other external causes of injury
9080,Other external causes of injury
9090,Other external causes of injury
9110,Other external causes of injury
9120,Other external causes of injury
9130,Other external causes of injury
9131,Other external causes of injury
9132,Other external causes of injury
9133,Other external causes of injury
9138,Other external causes of injury
9139,Other external causes of injury
9140,Other external causes of injury
9150,Other external causes of injury
9160,Other external causes of injury
9170,Other external causes of injury
9171,Other external causes of injury
9172,Other external causes of injury
9179,Other external causes of injury
9180,Other external causes of injury
9190,Other external causes of injury
9191,Other external causes of injury
9192,Other external causes of injury
9193,Other external causes of injury
9194,Other external causes of injury
9195,Other external causes of injury
9196,Other external causes of injury
9197,Other external causes of injury
9198,Other external causes of injury
9199,Other external causes of injury
9200,Other external causes of injury
9201,Other external causes of injury
9202,Other external causes of injury
9203,Other external causes of injury
9204,Other external causes of injury
9208,Other external causes of injury
9209,Other external causes of injury
9210,Other external causes of injury
9211,Other external causes of injury
9218,Other external causes of injury
9219,Other external causes of injury
9220,Other external causes of injury
9221,Other external causes of injury
9222,Other external causes of injury
9223,Other external causes of injury
9228,Other external causes of injury
9229,Other external causes of injury
9230,Other external causes of injury
9231,Other external causes of injury
9232,Other external causes of injury
9238,Other external causes of injury
9239,Other external causes of injury
9240,Other external causes of injury
9241,Other external causes of injury
9248,Other external causes of injury
9249,Other external causes of injury
9250,Other external causes of injury
9251,Other external causes of injury
9252,Other external causes of injury
9258,Other external causes of injury
9259,Other external causes of injury
9262,Other external causes of injury
9268,Other external causes of injury
9269,Other external causes of injury
9270,Other external causes of injury
9280,Other external causes of injury
9281,Other external causes of injury
9282,Other external causes of injury
9288,Other external causes of injury
9289,Other external causes of injury
9290,Other external causes of injury
9291,Other external causes of injury
9292,Other external causes of injury
9293,Other external causes of injury
9294,Other external causes of injury
9295,Other external causes of injury
9298,Other external causes of injury
9299,Other external causes of injury
9300,Other external causes of injury
9301,Other external causes of injury
9302,Other external causes of injury
9303,Other external causes of injury
9304,Other external causes of injury
9305,Other external causes of injury
9306,Other external causes of injury
9307,Other external causes of injury
9308,Other external causes of injury
9309,Other external causes of injury
9310,Other external causes of injury
9312,Other external causes of injury
9314,Other external causes of injury
9317,Other external causes of injury
9318,Other external causes of injury
9319,Other external causes of injury
9320,Other external causes of injury
9321,Other external causes of injury
9322,Other external causes of injury
9323,Other external causes of injury
9324,Other external causes of injury
9327,Other external causes of injury
9328,Other external causes of injury
9329,Other external causes of injury
9330,Other external causes of injury
9331,Other external causes of injury
9332,Other external causes of injury
9334,Other external causes of injury
9340,Other external causes of injury
9341,Other external causes of injury
9342,Other external causes of injury
9343,Other external causes of injury
9344,Other external causes of injury
9345,Other external causes of injury
9346,Other external causes of injury
9347,Other external causes of injury
9348,Other external causes of injury
9349,Other external causes of injury
9350,Other external causes of injury
9351,Other external causes of injury
9352,Other external causes of injury
9353,Other external causes of injury
9354,Other external causes of injury
9355,Other external causes of injury
9358,Other external causes of injury
9359,Other external causes of injury
9360,Other external causes of injury
9361,Other external causes of injury
9363,Other external causes of injury
9364,Other external causes of injury
9370,Other external causes of injury
9371,Other external causes of injury
9375,Other external causes of injury
9379,Other external causes of injury
9380,Other external causes of injury
9381,Other external causes of injury
9382,Other external causes of injury
9383,Other external causes of injury
9384,Other external causes of injury
9385,Other external causes of injury
9386,Other external causes of injury
9387,Other external causes of injury
9389,Other external causes of injury
9390,Other external causes of injury
9391,Other external causes of injury
9392,Other external causes of injury
9393,Other external causes of injury
9394,Other external causes of injury
9395,Other external causes of injury
9396,Other external causes of injury
9397,Other external causes of injury
9398,Other external causes of injury
9399,Other external causes of injury
9400,Other external causes of injury
9401,Other external causes of injury
9408,Other external causes of injury
9409,Other external causes of injury
9410,Other external causes of injury
9411,Other external causes of injury
9412,Other external causes of injury
9413,Other external causes of injury
9419,Other external causes of injury
9420,Other external causes of injury
9421,Other external causes of injury
9422,Other external causes of injury
9424,Other external causes of injury
9426,Other external causes of injury
9428,Other external causes of injury
9429,Other external causes of injury
9430,Other external causes of injury
9433,Other external causes of injury
9434,Other external causes of injury
9441,Other external causes of injury
9442,Other external causes of injury
9443,Other external causes of injury
9444,Other external causes of injury
9445,Other external causes of injury
9446,Other external causes of injury
9447,Other external causes of injury
9452,Other external causes of injury
9454,Other external causes of injury
9455,Other external causes of injury
9456,Other external causes of injury
9457,Other external causes of injury
9458,Other external causes of injury
9460,Other external causes of injury
9461,Other external causes of injury
9463,Other external causes of injury
9464,Other external causes of injury
9465,Other external causes of injury
9466,Other external causes of injury
9467,Other external causes of injury
9468,Other external causes of injury
9469,Other external causes of injury
9470,Other external causes of injury
9471,Other external causes of injury
9473,Other external causes of injury
9474,Other external causes of injury
9478,Other external causes of injury
9479,Other external causes of injury
9480,Other external causes of injury
9481,Other external causes of injury
9484,Other external causes of injury
9485,Other external causes of injury
9486,Other external causes of injury
9488,Other external causes of injury
9489,Other external causes of injury
9491,Other external causes of injury
9494,Other external causes of injury
9496,Other external causes of injury
9499,Other external causes of injury
9700,Other external causes of injury
9710,Other external causes of injury
9720,Other external causes of injury
9730,Other external causes of injury
9740,Other external causes of injury
9750,Other external causes of injury
9760,Other external causes of injury
9770,Other external causes of injury
9780,Other external causes of injury
9800,Other external causes of injury
9801,Other external causes of injury
9802,Other external causes of injury
9803,Other external causes of injury
9804,Other external causes of injury
9805,Other external causes of injury
9806,Other external causes of injury
9807,Other external causes of injury
9808,Other external causes of injury
9809,Other external causes of injury
9810,Other external causes of injury
9811,Other external causes of injury
9818,Other external causes of injury
9820,Other external causes of injury
9821,Other external causes of injury
9828,Other external causes of injury
9829,Other external causes of injury
9830,Other external causes of injury
9831,Other external causes of injury
9838,Other external causes of injury
9839,Other external causes of injury
9840,Other external causes of injury
9850,Other external causes of injury
9851,Other external causes of injury
9852,Other external causes of injury
9853,Other external causes of injury
9854,Other external causes of injury
9855,Other external causes of injury
9860,Other external causes of injury
9870,Other external causes of injury
9871,Other external causes of injury
9872,Other external causes of injury
9879,Other external causes of injury
9880,Other external causes of injury
9881,Other external causes of injury
