Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US05057,5057,"Hempstead County, Arkansas",22609,10000,0,10000,12609,0
0500000US05059,5059,"Hot Spring County, Arkansas",32923,11204,18,11186,21719,0
0500000US05061,5061,"Howard County, Arkansas",13789,4479,0,4479,9310,0
0500000US05063,5063,"Independence County, Arkansas",36647,11513,0,11513,25134,0
0500000US05065,5065,"Izard County, Arkansas",13696,0,0,0,13696,0
0500000US05067,5067,"Jackson County, Arkansas",17997,6288,0,6288,11709,0
0500000US05069,5069,"Jefferson County, Arkansas",77435,53495,53495,0,23940,0
0500000US05071,5071,"Johnson County, Arkansas",25540,7313,0,7313,18227,0
0500000US05073,5073,"Lafayette County, Arkansas",7645,0,0,0,7645,0
0500000US05075,5075,"Lawrence County, Arkansas",17415,6346,0,6346,11069,0
0500000US05077,5077,"Lee County, Arkansas",10424,3804,0,3804,6620,0
0500000US05079,5079,"Lincoln County, Arkansas",14134,0,0,0,14134,0
0500000US05081,5081,"Little River County, Arkansas",13171,4146,0,4146,9025,0
0500000US05083,5083,"Logan County, Arkansas",22353,6478,0,6478,15875,0
0500000US05085,5085,"Lonoke County, Arkansas",68356,37724,30904,6820,30632,0
0500000US05087,5087,"Madison County, Arkansas",15717,0,0,0,15717,0
0500000US05089,5089,"Marion County, Arkansas",16653,0,0,0,16653,0
0500000US05091,5091,"Miller County, Arkansas",43462,26072,26072,0,17390,0
0500000US05093,5093,"Mississippi County, Arkansas",46480,29623,0,29623,16857,0
0500000US05095,5095,"Monroe County, Arkansas",8149,2528,0,2528,5621,0
0500000US05097,5097,"Montgomery County, Arkansas",9487,0,0,0,9487,0
0500000US05099,5099,"Nevada County, Arkansas",8997,2773,0,2773,6224,0
0500000US05101,5101,"Newton County, Arkansas",8330,0,0,0,8330,0
0500000US05103,5103,"Ouachita County, Arkansas",26120(r39094),11401,0,11401,14719,0
0500000US05105,5105,"Perry County, Arkansas",10445,0,0,0,10445,0
0500000US05107,5107,"Phillips County, Arkansas",21757,11321,0,11321,10436,0
0500000US05109,5109,"Pike County, Arkansas",11291,0,0,0,11291,0
0500000US05111,5111,"Poinsett County, Arkansas",24583,7095,0,7095,17488,0
0500000US05113,5113,"Polk County, Arkansas",20662,5499,0,5499,15163,0
0500000US05115,5115,"Pope County, Arkansas",61754,28102,0,28102,33652,0
0500000US05117,5117,"Prairie County, Arkansas",8715,0,0,0,8715,0
0500000US05119,5119,"Pulaski County, Arkansas",382748,335759,335759,0,46989,0
0500000US05121,5121,"Randolph County, Arkansas",17969,5854,0,5854,12115,0
0500000US05123,5123,"St. Francis County, Arkansas",28258,13690,0,13690,14568,0
0500000US05125,5125,"Saline County, Arkansas",107118,68384,64725,3659,38734,0
0500000US05127,5127,"Scott County, Arkansas",11233,3330,0,3330,7903,0
0500000US05129,5129,"Searcy County, Arkansas",8195,0,0,0,8195,0
0500000US05131,5131,"Sebastian County, Arkansas",125744,99574,90955,8619,26170,0
0500000US05133,5133,"Sevier County, Arkansas",17058,6209,0,6209,10849,0
0500000US05135,5135,"Sharp County, Arkansas",17264,3443,0,3443,13821,0
0500000US05137,5137,"Stone County, Arkansas",12394,0,0,0,12394,0
0500000US05139,5139,"Union County, Arkansas",41639,18944,0,18944,22695,0
0500000US05141,5141,"Van Buren County, Arkansas",17295,0,0,0,17295,0
