Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Filler
0500000US01111,1111,"Randolph County, Alabama",22380,4873,0,4873,17507,0
0500000US01113,1113,"Russell County, Alabama",49756,31895,31895,0,17861,0
0500000US01115,1115,"St. Clair County, Alabama",64742,8136,0,8136,56606,0
0500000US01117,1117,"Shelby County, Alabama",143293,91557,86024,5533,51736,0
0500000US01119,1119,"Sumter County, Alabama",14798,0,0,0,14798,0
0500000US01121,1121,"Talladega County, Alabama",80321,35752,2496,33256,44569,0
0500000US01123,1123,"Tallapoosa County, Alabama",41475,10265,0,10265,31210,0
0500000US01125,1125,"Tuscaloosa County, Alabama",164875,116888,116888,0,47987,0
0500000US01127,1127,"Walker County, Alabama",70713,16251,0,16251,54462,0
0500000US01129,1129,"Washington County, Alabama",18097,0,0,0,18097,0
0500000US01131,1131,"Wilcox County, Alabama",13183,0,0,0,13183,0
0500000US01133,1133,"Winston County, Alabama",24843,4030,0,4030,20813,0
0500000US02013,2013,"Aleutians East Borough, Alaska",2697,0,0,0,2697,0
0500000US02016,2016,"Aleutians West Census Area, Alaska",5465,3101,0,3101,2364,0
0500000US02020,2020,"Anchorage Municipality, Alaska",260283,250020,225744,24276,10263,0
0500000US02050,2050,"Bethel Census Area, Alaska",16006,4436,0,4436,11570,0
0500000US02060,2060,"Bristol Bay Borough, Alaska",1258,0,0,0,1258,0
0500000US02068,2068,"Denali Borough, Alaska",1893,0,0,0,1893,0
0500000US02070,2070,"Dillingham Census Area, Alaska",4922,0,0,0,4922,0
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",82840,57635,51926,5709,25205,0
0500000US02100,2100,"Haines Borough, Alaska",2392,0,0,0,2392,0
0500000US02110,2110,"Juneau City and Borough, Alaska",30711,25220,0,25220,5491,0
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",49691,7874,0,7874,41817,0
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",14070,10673,0,10673,3397,0
0500000US02150,2150,"Kodiak Island Borough, Alaska",13913,10768,0,10768,3145,0
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1823,0,0,0,1823,0
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",59322,21041,0,21041,38281,0
0500000US02180,2180,"Nome Census Area, Alaska",9196,2956,0,2956,6240,0
0500000US02185,2185,"North Slope Borough, Alaska",7385,4322,0,4322,3063,0
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7208,3072,0,3072,4136,0
0500000US02201,2201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",6146,0,0,0,6146,0
0500000US02220,2220,"Sitka City and Borough, Alaska",8835,7322,0,7322,1513,0
0500000US02232,2232,"Skagway-Hoonah-Angoon Census Area, Alaska",3436,0,0,0,3436,0
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",6174,0,0,0,6174,0
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",10195,0,0,0,10195,0
0500000US02270,2270,"Wade Hampton Census Area, Alaska",7028,0,0,0,7028,0
0500000US02280,2280,"Wrangell-Petersburg Census Area, Alaska",6684,2817,0,2817,3867,0
0500000US02282,2282,"Yakutat City and Borough, Alaska",808,0,0,0,808,0
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",6551,0,0,0,6551,0
0500000US04001,4001,"Apache County, Arizona",69423,16601,0,16601,52822,0
0500000US04003,4003,"Cochise County, Arizona",117755,78223,0,78223,39532,0
0500000US04005,4005,"Coconino County, Arizona",116320,74568,57050,17518,41752,0
0500000US04007,4007,"Gila County, Arizona",51335,28279,0,28279,23056,0
0500000US04009,4009,"Graham County, Arizona",33489,14862,0,14862,18627,0
0500000US04011,4011,"Greenlee County, Arizona",8547,4292,0,4292,4255,0
0500000US04012,4012,"La Paz County, Arizona",19715,8609,0,8609,11106,0
0500000US04013,4013,"Maricopa County, Arizona",3072149,2981954,2935347,46607,90195,0
0500000US04015,4015,"Mohave County, Arizona",155032,116801,0,116801,38231,0
0500000US04017,4017,"Navajo County, Arizona",97470,40296,0,40296,57174,0
0500000US04019,4019,"Pima County, Arizona",843746,772583,720425,52158,71163,0
0500000US04021,4021,"Pinal County, Arizona",179727,116228,39577,76651,63499,0
0500000US04023,4023,"Santa Cruz County, Arizona",38381,26141,0,26141,12240,0
0500000US04025,4025,"Yavapai County, Arizona",167517,105007,61909,43098,62510,0
0500000US04027,4027,"Yuma County, Arizona",160026,139091,93855,45236,20935,0
0500000US05001,5001,"Arkansas County, Arkansas",20749,13241,0,13241,7508,0
0500000US05003,5003,"Ashley County, Arkansas",24209,11966,0,11966,12243,0
0500000US05005,5005,"Baxter County, Arkansas",38386,12522,0,12522,25864,0
0500000US05007,5007,"Benton County, Arkansas",153406,90339,65394,24945,63067,0
0500000US05009,5009,"Boone County, Arkansas",33948,12923,0,12923,21025,0
0500000US05011,5011,"Bradley County, Arkansas",12600,6055,0,6055,6545,0
0500000US05013,5013,"Calhoun County, Arkansas",5744,0,0,0,5744,0
0500000US05015,5015,"Carroll County, Arkansas",25357,7060,0,7060,18297,0
0500000US05017,5017,"Chicot County, Arkansas",14117,8786,0,8786,5331,0
0500000US05019,5019,"Clark County, Arkansas",23546,10565,0,10565,12981,0
0500000US05021,5021,"Clay County, Arkansas",17609,6823,0,6823,10786,0
0500000US05023,5023,"Cleburne County, Arkansas",24046,5684,0,5684,18362,0
0500000US05025,5025,"Cleveland County, Arkansas",8571,0,0,0,8571,0
0500000US05027,5027,"Columbia County, Arkansas",25603,10486,0,10486,15117,0
0500000US05029,5029,"Conway County, Arkansas",20336,5594,0,5594,14742,0
0500000US05031,5031,"Craighead County, Arkansas",82148,53310,51804,1506,28838,0
0500000US05033,5033,"Crawford County, Arkansas",53247,24231,20200,4031,29016,0
0500000US05035,5035,"Crittenden County, Arkansas",50866,40752,37961,2791,10114,0
0500000US05037,5037,"Cross County, Arkansas",19526,8140,0,8140,11386,0
0500000US05039,5039,"Dallas County, Arkansas",9210,4182,0,4182,5028,0
0500000US05041,5041,"Desha County, Arkansas",15341,9863,0,9863,5478,0
0500000US05043,5043,"Drew County, Arkansas",18723,8703,0,8703,10020,0
0500000US05045,5045,"Faulkner County, Arkansas",86014,43891,0,43891,42123,0
0500000US05047,5047,"Franklin County, Arkansas",17771,2808,0,2808,14963,0
0500000US05049,5049,"Fulton County, Arkansas",11642,1061,0,1061,10581,0
0500000US05051,5051,"Garland County, Arkansas",88068,56302,51741,4561,31766,0
0500000US05053,5053,"Grant County, Arkansas",16464,3765,0,3765,12699,0
0500000US05055,5055,"Greene County, Arkansas",37331,19270,0,19270,18061,0
0500000US05057,5057,"Hempstead County, Arkansas",23587,10540,0,10540,13047,0
0500000US05059,5059,"Hot Spring County, Arkansas",30353,9243,22,9221,21110,0
0500000US05061,5061,"Howard County, Arkansas",14300,4737,0,4737,9563,0
0500000US05063,5063,"Independence County, Arkansas",34233,10578,0,10578,23655,0
0500000US05065,5065,"Izard County, Arkansas",13249,0,0,0,13249,0
0500000US05067,5067,"Jackson County, Arkansas",18418,7062,0,7062,11356,0
0500000US05069,5069,"Jefferson County, Arkansas",84278,58584,58584,0,25694,0
0500000US05071,5071,"Johnson County, Arkansas",22781,5295,0,5295,17486,0
0500000US05073,5073,"Lafayette County, Arkansas",8559,0,0,0,8559,0
0500000US05075,5075,"Lawrence County, Arkansas",17774,6509,0,6509,11265,0
0500000US05077,5077,"Lee County, Arkansas",12580,5089,0,5089,7491,0
0500000US05079,5079,"Lincoln County, Arkansas",14492,0,0,0,14492,0
0500000US05081,5081,"Little River County, Arkansas",13628,3721,0,3721,9907,0
0500000US05083,5083,"Logan County, Arkansas",22486,6544,0,6544,15942,0
0500000US05085,5085,"Lonoke County, Arkansas",52828,24038,14391,9647,28790,0
0500000US05087,5087,"Madison County, Arkansas",14243,0,0,0,14243,0
0500000US05089,5089,"Marion County, Arkansas",16140,0,0,0,16140,0
0500000US05091,5091,"Miller County, Arkansas",40443,23521,23521,0,16922,0
0500000US05093,5093,"Mississippi County, Arkansas",51979,34211,0,34211,17768,0
0500000US05095,5095,"Monroe County, Arkansas",10254,3784,0,3784,6470,0
0500000US05097,5097,"Montgomery County, Arkansas",9245,0,0,0,9245,0
0500000US05099,5099,"Nevada County, Arkansas",9955,3016,0,3016,6939,0
0500000US05101,5101,"Newton County, Arkansas",8608,0,0,0,8608,0
0500000US05103,5103,"Ouachita County, Arkansas",28790,12249,0,12249,16541,0
0500000US05105,5105,"Perry County, Arkansas",10209,0,0,0,10209,0
0500000US05107,5107,"Phillips County, Arkansas",26445,13980,0,13980,12465,0
0500000US05109,5109,"Pike County, Arkansas",11303,0,0,0,11303,0
0500000US05111,5111,"Poinsett County, Arkansas",25614,9284,0,9284,16330,0
0500000US05113,5113,"Polk County, Arkansas",20229,5227,0,5227,15002,0
0500000US05115,5115,"Pope County, Arkansas",54469,22744,0,22744,31725,0
0500000US05117,5117,"Prairie County, Arkansas",9539,0,0,0,9539,0
0500000US05119,5119,"Pulaski County, Arkansas",361474,315796,305090,10706,45678,0
0500000US05121,5121,"Randolph County, Arkansas",18195,5756,0,5756,12439,0
0500000US05123,5123,"St. Francis County, Arkansas",29329,14286,0,14286,15043,0
0500000US05125,5125,"Saline County, Arkansas",83529,41937,40850,1087,41592,0
0500000US05127,5127,"Scott County, Arkansas",10996,2986,0,2986,8010,0
0500000US05129,5129,"Searcy County, Arkansas",8261,0,0,0,8261,0
0500000US05131,5131,"Sebastian County, Arkansas",115071,90754,83998,6756,24317,0
0500000US05133,5133,"Sevier County, Arkansas",15757,5827,0,5827,9930,0
0500000US05135,5135,"Sharp County, Arkansas",17119,2995,0,2995,14124,0
0500000US05137,5137,"Stone County, Arkansas",11499,0,0,0,11499,0
0500000US05139,5139,"Union County, Arkansas",45629,22146,0,22146,23483,0
0500000US05141,5141,"Van Buren County, Arkansas",16192,0,0,0,16192,0
0500000US05143,5143,"Washington County, Arkansas",157715,109732,107191,2541,47983,0
0500000US05145,5145,"White County, Arkansas",67165,29795,0,29795,37370,0
0500000US05147,5147,"Woodruff County, Arkansas",8741,0,0,0,8741,0
0500000US05149,5149,"Yell County, Arkansas",21139,3891,0,3891,17248,0
0500000US06001,6001,"Alameda County, California",1443741,1435461,1435461,0,8280,0
0500000US06003,6003,"Alpine County, California",1208,0,0,0,1208,0
0500000US06005,6005,"Amador County, California",35100,13285,0,13285,21815,0
0500000US06007,6007,"Butte County, California",203171,166481,89221,77260,36690,0
0500000US06009,6009,"Calaveras County, California",40554,7300,0,7300,33254,0
0500000US06011,6011,"Colusa County, California",18804,9603,0,9603,9201,0
0500000US06013,6013,"Contra Costa County, California",948816,929007,917104,11903,19809,0
0500000US06015,6015,"Del Norte County, California",27507,18812,0,18812,8695,0
0500000US06017,6017,"El Dorado County, California",156299,98734,17855,80879,57565,0
0500000US06019,6019,"Fresno County, California",799407,698827,554843,143984,100580,0
0500000US06021,6021,"Glenn County, California",26453,14985,0,14985,11468,0
0500000US06023,6023,"Humboldt County, California",126518,88127,0,88127,38391,0
0500000US06025,6025,"Imperial County, California",142361,121649,54049,67600,20712,0
0500000US06027,6027,"Inyo County, California",17945,10359,0,10359,7586,0
0500000US06029,6029,"Kern County, California",661645,583841,396125,187716,77804,0
0500000US06031,6031,"Kings County, California",129461,112687,0,112687,16774,0
0500000US06033,6033,"Lake County, California",58309,32325,0,32325,25984,0
0500000US06035,6035,"Lassen County, California",33828,13981,0,13981,19847,0
0500000US06037,6037,"Los Angeles County, California",9519338,9451033,9418004,33029,68305,0
0500000US06039,6039,"Madera County, California",123109,81245,58107,23138,41864,0
0500000US06041,6041,"Marin County, California",247289,232836,232836,0,14453,0
0500000US06043,6043,"Mariposa County, California",17130,0,0,0,17130,0
0500000US06045,6045,"Mendocino County, California",86265,46249,0,46249,40016,0
0500000US06047,6047,"Merced County, California",210554,174810,118192,56618,35744,0
0500000US06049,6049,"Modoc County, California",9449,2831,0,2831,6618,0
0500000US06051,6051,"Mono County, California",12853,5800,0,5800,7053,0
0500000US06053,6053,"Monterey County, California",401762,357423,311503,45920,44339,0
0500000US06055,6055,"Napa County, California",124279,104450,89551,14899,19829,0
0500000US06057,6057,"Nevada County, California",92033,52141,0,52141,39892,0
0500000US06059,6059,"Orange County, California",2846289,2841027,2841027,0,5262,0
0500000US06061,6061,"Placer County, California",248399,195538,173506,22032,52861,0
0500000US06063,6063,"Plumas County, California",20824,2626,0,2626,18198,0
0500000US06065,6065,"Riverside County, California",1545387,1438996,1377272,61724,106391,0
0500000US06067,6067,"Sacramento County, California",1223499,1193703,1191069,2634,29796,0
0500000US06069,6069,"San Benito County, California",53234,41197,0,41197,12037,0
0500000US06071,6071,"San Bernardino County, California",1709434,1612233,1466831,145402,97201,0
0500000US06073,6073,"San Diego County, California",2813833,2704191,2674436,29755,109642,0
0500000US06075,6075,"San Francisco County, California",776733,776733,776733,0,0,0
0500000US06077,6077,"San Joaquin County, California",563598,507534,497368,10166,56064,0
0500000US06079,6079,"San Luis Obispo County, California",246681,200425,120169,80256,46256,0
0500000US06081,6081,"San Mateo County, California",707161,697526,675489,22037,9635,0
0500000US06083,6083,"Santa Barbara County, California",399347,379792,359620,20172,19555,0
0500000US06085,6085,"Santa Clara County, California",1682585,1661927,1661927,0,20658,0
0500000US06087,6087,"Santa Cruz County, California",255602,217560,217560,0,38042,0
0500000US06089,6089,"Shasta County, California",163256,112595,105267,7328,50661,0
0500000US06091,6091,"Sierra County, California",3555,0,0,0,3555,0
0500000US06093,6093,"Siskiyou County, California",44301,15544,0,15544,28757,0
0500000US06095,6095,"Solano County, California",394542,378103,348858,29245,16439,0
0500000US06097,6097,"Sonoma County, California",458614,392956,345366,47590,65658,0
0500000US06099,6099,"Stanislaus County, California",446997,407092,362601,44491,39905,0
0500000US06101,6101,"Sutter County, California",78930,67106,60635,6471,11824,0
0500000US06103,6103,"Tehama County, California",56039,28565,0,28565,27474,0
0500000US06105,6105,"Trinity County, California",13022,0,0,0,13022,0
0500000US06107,6107,"Tulare County, California",368021,298726,180305,118421,69295,0
0500000US06109,6109,"Tuolumne County, California",54501,29091,0,29091,25410,0
0500000US06111,6111,"Ventura County, California",753197,729622,686921,42701,23575,0
0500000US06113,6113,"Yolo County, California",168660,152851,97187,55664,15809,0
0500000US06115,6115,"Yuba County, California",60219,42122,37010,5112,18097,0
0500000US08001,8001,"Adams County, Colorado",363857,349886,328537,21349,13971,0
0500000US08003,8003,"Alamosa County, Colorado",14966,9238,0,9238,5728,0
0500000US08005,8005,"Arapahoe County, Colorado",487967,478557,478557,0,9410,0
0500000US08007,8007,"Archuleta County, Colorado",9898,3604,0,3604,6294,0
0500000US08009,8009,"Baca County, Colorado",4517,0,0,0,4517,0
0500000US08011,8011,"Bent County, Colorado",5998,3458,0,3458,2540,0
0500000US08013,8013,"Boulder County, Colorado",291288,264155,264155,0,27133,0
0500000US08015,8015,"Chaffee County, Colorado",16242,9977,0,9977,6265,0
0500000US08017,8017,"Cheyenne County, Colorado",2231,0,0,0,2231,0
0500000US08019,8019,"Clear Creek County, Colorado",9322,192,0,192,9130,0
0500000US08021,8021,"Conejos County, Colorado",8400,0,0,0,8400,0
0500000US08023,8023,"Costilla County, Colorado",3663,0,0,0,3663,0
0500000US08025,8025,"Crowley County, Colorado",5518,0,0,0,5518,0
0500000US08027,8027,"Custer County, Colorado",3503,0,0,0,3503,0
0500000US08029,8029,"Delta County, Colorado",27834,6699,0,6699,21135,0
0500000US08031,8031,"Denver County, Colorado",554636,554624,554624,0,12,0
0500000US08033,8033,"Dolores County, Colorado",1844,0,0,0,1844,0
0500000US08035,8035,"Douglas County, Colorado",175766,150320,120924,29396,25446,0
0500000US08037,8037,"Eagle County, Colorado",41659,28420,0,28420,13239,0
0500000US08039,8039,"Elbert County, Colorado",19872,0,0,0,19872,0
0500000US08041,8041,"El Paso County, Colorado",516929,467932,466122,1810,48997,0
0500000US08043,8043,"Fremont County, Colorado",46145,33818,0,33818,12327,0
0500000US08045,8045,"Garfield County, Colorado",43791,30636,0,30636,13155,0
0500000US08047,8047,"Gilpin County, Colorado",4757,0,0,0,4757,0
0500000US08049,8049,"Grand County, Colorado",12442,0,0,0,12442,0
0500000US08051,8051,"Gunnison County, Colorado",13956,6344,0,6344,7612,0
0500000US08053,8053,"Hinsdale County, Colorado",790,0,0,0,790,0
0500000US08055,8055,"Huerfano County, Colorado",7862,4116,0,4116,3746,0
0500000US08057,8057,"Jackson County, Colorado",1577,0,0,0,1577,0
0500000US08059,8059,"Jefferson County, Colorado",527056,491510,481175,10335,35546,0
0500000US08061,8061,"Kiowa County, Colorado",1622,0,0,0,1622,0
0500000US08063,8063,"Kit Carson County, Colorado",8011,3701,0,3701,4310,0
0500000US08065,8065,"Lake County, Colorado",7812,6090,0,6090,1722,0
0500000US08067,8067,"La Plata County, Colorado",43941,15349,0,15349,28592,0
0500000US08069,8069,"Larimer County, Colorado",251494,217014,206633,10381,34480,0
0500000US08071,8071,"Las Animas County, Colorado",15207,9297,0,9297,5910,0
0500000US08073,8073,"Lincoln County, Colorado",6087,0,0,0,6087,0
0500000US08075,8075,"Logan County, Colorado",20504,12131,0,12131,8373,0
0500000US08077,8077,"Mesa County, Colorado",116255,98608,92362,6246,17647,0
0500000US08079,8079,"Mineral County, Colorado",831,0,0,0,831,0
0500000US08081,8081,"Moffat County, Colorado",13184,9613,0,9613,3571,0
0500000US08083,8083,"Montezuma County, Colorado",23830,8061,0,8061,15769,0
0500000US08085,8085,"Montrose County, Colorado",33432,15676,0,15676,17756,0
0500000US08087,8087,"Morgan County, Colorado",27171,18697,0,18697,8474,0
0500000US08089,8089,"Otero County, Colorado",20311,12741,0,12741,7570,0
0500000US08091,8091,"Ouray County, Colorado",3742,0,0,0,3742,0
0500000US08093,8093,"Park County, Colorado",14523,0,0,0,14523,0
0500000US08095,8095,"Phillips County, Colorado",4480,0,0,0,4480,0
0500000US08097,8097,"Pitkin County, Colorado",14872,7000,0,7000,7872,0
0500000US08099,8099,"Prowers County, Colorado",14483,8866,0,8866,5617,0
0500000US08101,8101,"Pueblo County, Colorado",141472,123351,123351,0,18121,0
0500000US08103,8103,"Rio Blanco County, Colorado",5986,0,0,0,5986,0
0500000US08105,8105,"Rio Grande County, Colorado",12413,4841,0,4841,7572,0
0500000US08107,8107,"Routt County, Colorado",19690,9970,0,9970,9720,0
0500000US08109,8109,"Saguache County, Colorado",5917,0,0,0,5917,0
0500000US08111,8111,"San Juan County, Colorado",558,0,0,0,558,0
0500000US08113,8113,"San Miguel County, Colorado",6594,0,0,0,6594,0
0500000US08115,8115,"Sedgwick County, Colorado",2747,0,0,0,2747,0
0500000US08117,8117,"Summit County, Colorado",23548,17091,0,17091,6457,0
0500000US08119,8119,"Teller County, Colorado",20555,8569,0,8569,11986,0
0500000US08121,8121,"Washington County, Colorado",4926,0,0,0,4926,0
0500000US08123,8123,"Weld County, Colorado",180936,129870,96409,33461,51066,0
0500000US08125,8125,"Yuma County, Colorado",9841,3163,0,3163,6678,0
0500000US09001,9001,"Fairfield County, Connecticut",882567,846372,846372,0,36195,0
0500000US09003,9003,"Hartford County, Connecticut",857183,810283,810283,0,46900,0
0500000US09005,9005,"Litchfield County, Connecticut",182193,102451,60040,42411,79742,0
0500000US09007,9007,"Middlesex County, Connecticut",155071,111745,102184,9561,43326,0
0500000US09009,9009,"New Haven County, Connecticut",824008,789277,789277,0,34731,0
0500000US09011,9011,"New London County, Connecticut",259088,187980,173136,14844,71108,0
0500000US09013,9013,"Tolland County, Connecticut",136364,84206,55930,28276,52158,0
0500000US09015,9015,"Windham County, Connecticut",109091,55745,11275,44470,53346,0
0500000US10001,10001,"Kent County, Delaware",126697,81728,65044,16684,44969,0
0500000US10003,10003,"New Castle County, Delaware",500265,472395,464548,7847,27870,0
0500000US10005,10005,"Sussex County, Delaware",156638,73635,1440,72195,83003,0
0500000US11001,11001,"District of Columbia, District of Columbia",572059,572059,572059,0,0,0
0500000US12001,12001,"Alachua County, Florida",217955,162514,159508,3006,55441,0
0500000US12003,12003,"Baker County, Florida",22259,7972,0,7972,14287,0
0500000US12005,12005,"Bay County, Florida",148217,132240,132240,0,15977,0
0500000US12007,12007,"Bradford County, Florida",26088,8803,0,8803,17285,0
0500000US12009,12009,"Brevard County, Florida",476230,454444,454444,0,21786,0
0500000US12011,12011,"Broward County, Florida",1623018,1620810,1620810,0,2208,0
0500000US12013,12013,"Calhoun County, Florida",13017,4459,0,4459,8558,0
0500000US12015,12015,"Charlotte County, Florida",141627,127743,127743,0,13884,0
0500000US12017,12017,"Citrus County, Florida",118085,67791,0,67791,50294,0
0500000US12019,12019,"Clay County, Florida",140814,106305,92237,14068,34509,0
0500000US12021,12021,"Collier County, Florida",251377,226345,189428,36917,25032,0
0500000US12023,12023,"Columbia County, Florida",56513,18311,0,18311,38202,0
0500000US12027,12027,"DeSoto County, Florida",32209,14781,582,14199,17428,0
0500000US12029,12029,"Dixie County, Florida",13827,3195,0,3195,10632,0
0500000US12031,12031,"Duval County, Florida",778879,748966,748966,0,29913,0
0500000US12033,12033,"Escambia County, Florida",294410,262408,259411,2997,32002,0
0500000US12035,12035,"Flagler County, Florida",49832,33524,5383,28141,16308,0
0500000US12037,12037,"Franklin County, Florida",11057,2900,0,2900,8157,0
0500000US12039,12039,"Gadsden County, Florida",45087,15566,0,15566,29521,0
0500000US12041,12041,"Gilchrist County, Florida",14437,0,0,0,14437,0
0500000US12043,12043,"Glades County, Florida",10576,2908,0,2908,7668,0
0500000US12045,12045,"Gulf County, Florida",13332,4358,0,4358,8974,0
0500000US12047,12047,"Hamilton County, Florida",13327,2563,0,2563,10764,0
0500000US12049,12049,"Hardee County, Florida",26938,14638,0,14638,12300,0
0500000US12051,12051,"Hendry County, Florida",36210,22883,0,22883,13327,0
0500000US12053,12053,"Hernando County, Florida",130802,99591,96816,2775,31211,0
0500000US12055,12055,"Highlands County, Florida",87366,58473,0,58473,28893,0
0500000US12057,12057,"Hillsborough County, Florida",998948,942962,912829,30133,55986,0
0500000US12059,12059,"Holmes County, Florida",18564,3925,0,3925,14639,0
0500000US12061,12061,"Indian River County, Florida",112947,103994,100136,3858,8953,0
0500000US12063,12063,"Jackson County, Florida",46755,8146,0,8146,38609,0
0500000US12065,12065,"Jefferson County, Florida",12902,0,0,0,12902,0
0500000US12067,12067,"Lafayette County, Florida",7022,0,0,0,7022,0
0500000US12069,12069,"Lake County, Florida",210528,147006,116485,30521,63522,0
0500000US12071,12071,"Lee County, Florida",440888,389712,362615,27097,51176,0
0500000US12073,12073,"Leon County, Florida",239452,204260,204260,0,35192,0
0500000US12075,12075,"Levy County, Florida",34450,0,0,0,34450,0
0500000US12077,12077,"Liberty County, Florida",7021,0,0,0,7021,0
0500000US12079,12079,"Madison County, Florida",18733,4019,0,4019,14714,0
0500000US12081,12081,"Manatee County, Florida",264002,242476,242476,0,21526,0
0500000US12083,12083,"Marion County, Florida",258916,157746,132732,25014,101170,0
0500000US12085,12085,"Martin County, Florida",126731,112560,107215,5345,14171,0
0500000US12086,12086,"Miami-Dade County, Florida",2253362,2237340,2222891,14449,16022,0
0500000US12087,12087,"Monroe County, Florida",79589,73948,0,73948,5641,0
0500000US12089,12089,"Nassau County, Florida",57663,28423,0,28423,29240,0
0500000US12091,12091,"Okaloosa County, Florida",170498,149823,127970,21853,20675,0
0500000US12093,12093,"Okeechobee County, Florida",35910,20432,0,20432,15478,0
0500000US12095,12095,"Orange County, Florida",896344,865507,865507,0,30837,0
