year,fips,Median_Household_Income_in_Dollars,All_Ages_in_Poverty_Percent
2004,19149,"$48,566",7.1
2003,19149,"$45,487",6.4
2002,19149,"$44,853",6.6
2001,19149,"$43,949",6
2000,19149,"$43,900",6.3
1999,19149,"$42,073",6.5
1998,19149,"$41,040",7.4
1997,19149,"$40,109",7.2
1996,19149,NA,NA
1995,19149,"$35,550",6.8
1993,19149,"$32,348",7.6
1989,19149,"$27,166",9.5
2015,19151,"$47,872",13.1
2014,19151,"$49,625",12.9
2013,19151,"$50,401",11.5
2012,19151,"$45,780",12.5
2011,19151,"$43,766",12.5
2010,19151,"$44,225",12.2
2009,19151,"$45,593",10.5
2008,19151,"$41,594",10.8
2007,19151,"$40,968",11.2
2006,19151,"$39,143",10.1
2005,19151,"$37,404",11.3
2004,19151,"$37,670",10.5
2003,19151,"$34,374",9.6
2002,19151,"$34,101",10
2001,19151,"$34,366",9
2000,19151,"$34,722",9
1999,19151,"$33,674",9.1
1998,19151,"$34,742",9.7
1997,19151,"$34,867",9.5
1996,19151,NA,NA
1995,19151,"$30,050",9.4
1993,19151,"$28,418",10.6
1989,19151,"$24,531",10.5
2015,19153,"$60,436",11.9
2014,19153,"$61,028",13.1
2013,19153,"$59,388",12.4
2012,19153,"$57,942",13.4
2011,19153,"$56,091",12.5
2010,19153,"$54,328",11
2009,19153,"$54,948",10.9
2008,19153,"$56,980",9.9
2007,19153,"$54,377",9.4
2006,19153,"$52,618",9.7
2005,19153,"$51,959",7.9
2004,19153,"$51,304",9.8
2003,19153,"$49,342",8.6
2002,19153,"$48,887",8
2001,19153,"$48,112",7
2000,19153,"$48,413",7.1
1999,19153,"$45,880",7.7
1998,19153,"$45,776",8.2
1997,19153,"$42,975",8.7
1996,19153,NA,NA
1995,19153,"$39,325",8.6
1993,19153,"$37,349",10.3
1989,19153,"$31,061",9.2
2015,19155,"$52,927",13.5
2014,19155,"$51,947",12.3
2013,19155,"$50,570",13.6
2012,19155,"$49,911",12.4
2011,19155,"$48,589",14.5
2010,19155,"$47,870",14.5
2009,19155,"$45,769",13.1
2008,19155,"$49,817",11.6
2007,19155,"$48,467",10.9
2006,19155,"$46,453",11
2005,19155,"$44,988",11.5
2004,19155,"$42,636",11.4
2003,19155,"$40,779",10.1
2002,19155,"$39,934",10.1
2001,19155,"$39,741",9
2000,19155,"$40,722",8.7
1999,19155,"$38,488",9.2
1998,19155,"$36,908",10.5
1997,19155,"$35,851",11.2
1996,19155,NA,NA
1995,19155,"$33,155",10.8
1993,19155,"$30,027",12.5
1989,19155,"$25,057",11.8
2015,19157,"$52,861",10.9
2014,19157,"$52,791",12.1
2013,19157,"$50,799",12
2012,19157,"$50,883",11.9
2011,19157,"$49,853",11.5
2010,19157,"$48,929",12
2009,19157,"$47,337",12.6
2008,19157,"$49,857",10.8
2007,19157,"$48,674",10.6
2006,19157,"$40,331",11.4
2005,19157,"$43,686",9.8
2004,19157,"$42,103",10.5
2003,19157,"$40,009",9
2002,19157,"$39,507",9.1
2001,19157,"$39,262",8.2
2000,19157,"$39,806",8
1999,19157,"$38,209",8.3
1998,19157,"$39,895",8.8
1997,19157,"$38,079",9.2
1996,19157,NA,NA
1995,19157,"$34,068",8.9
1993,19157,"$31,505",9.9
1989,19157,"$27,196",9.2
2015,19159,"$45,870",14.1
2014,19159,"$42,854",16.6
2013,19159,"$47,319",16.4
2012,19159,"$40,049",16.4
2011,19159,"$38,547",14
2010,19159,"$36,810",18.6
2009,19159,"$35,035",15.6
2008,19159,"$36,658",16.5
2007,19159,"$35,695",14
2006,19159,"$36,631",15.2
2005,19159,"$33,334",16.3
2004,19159,"$32,762",13.7
2003,19159,"$29,806",12.5
2002,19159,"$29,734",14.3
2001,19159,"$29,760",13.2
2000,19159,"$30,521",14
1999,19159,"$28,777",13.5
1998,19159,"$28,132",15.9
1997,19159,"$27,802",16
1996,19159,NA,NA
1995,19159,"$22,860",15.9
1993,19159,"$23,324",17.1
1989,19159,"$17,903",19.7
2015,19161,"$52,506",10.9
2014,19161,"$49,513",10.8
2013,19161,"$51,399",10.6
2012,19161,"$46,997",10.6
2011,19161,"$49,480",9.5
2010,19161,"$42,888",10.5
2009,19161,"$44,135",11.8
2008,19161,"$41,409",11.1
2007,19161,"$38,737",10.6
2006,19161,"$38,025",10.9
2005,19161,"$37,687",11.9
2004,19161,"$38,972",10
2003,19161,"$34,970",9.1
2002,19161,"$34,832",10.3
2001,19161,"$34,305",10.2
2000,19161,"$34,176",9.9
1999,19161,"$32,690",9.7
1998,19161,"$32,727",10.8
1997,19161,"$32,612",10.5
1996,19161,NA,NA
1995,19161,"$27,567",10.6
1993,19161,"$26,555",10.9
1989,19161,"$21,765",11.4
2015,19163,"$58,160",12.4
2014,19163,"$54,959",12.2
2013,19163,"$54,444",14.2
2012,19163,"$53,315",12.2
2011,19163,"$50,007",13.8
2010,19163,"$47,800",15
2009,19163,"$50,707",12.5
2008,19163,"$52,218",11.8
2007,19163,"$48,373",11.4
2006,19163,"$46,640",12.8
2005,19163,"$48,884",12.2
2004,19163,"$46,947",12.3
2003,19163,"$45,751",10.4
2002,19163,"$45,217",9.7
2001,19163,"$44,764",9
2000,19163,"$45,332",9.5
1999,19163,"$42,609",10.2
1998,19163,"$42,754",10.7
1997,19163,"$40,920",11.5
1996,19163,NA,NA
1995,19163,"$38,830",11.6
1993,19163,"$35,382",12.7
1989,19163,"$29,780",10.7
2015,19165,"$54,614",9.2
2014,19165,"$55,637",9.6
2013,19165,"$54,740",9.4
2012,19165,"$53,135",9.7
2011,19165,"$48,572",9.5
2010,19165,"$49,056",10.2
2009,19165,"$45,177",9.1
2008,19165,"$47,103",9.4
2007,19165,"$45,568",9.5
2006,19165,"$41,313",8.9
2005,19165,"$42,704",8.1
2004,19165,"$42,636",8.8
2003,19165,"$39,672",7.7
2002,19165,"$38,787",8.1
2001,19165,"$38,361",7.4
2000,19165,"$38,407",7.5
1999,19165,"$36,624",7.4
1998,19165,"$34,668",9.4
1997,19165,"$34,588",9
1996,19165,NA,NA
1995,19165,"$30,501",9
1993,19165,"$28,705",10.2
1989,19165,"$24,629",10.8
2015,19167,"$62,875",7.6
2014,19167,"$60,205",7.5
2013,19167,"$61,817",8.2
2012,19167,"$61,176",7.8
2011,19167,"$57,027",9
2010,19167,"$53,705",8
2009,19167,"$50,978",7.1
2008,19167,"$52,513",7.5
2007,19167,"$53,006",7
2006,19167,"$46,192",7.2
2005,19167,"$43,441",7.2
2004,19167,"$47,564",7.1
2003,19167,"$44,614",6.4
2002,19167,"$42,417",6.8
2001,19167,"$41,674",6.2
2000,19167,"$41,787",6.2
1999,19167,"$41,081",6.3
1998,19167,"$40,919",7.1
1997,19167,"$40,895",7
1996,19167,NA,NA
1995,19167,"$36,248",7
1993,19167,"$33,105",7.1
1989,19167,"$27,616",8.6
2015,19169,"$51,706",18.6
2014,19169,"$52,128",19.5
2013,19169,"$53,782",21.1
2012,19169,"$51,291",19.5
2011,19169,"$48,121",21.3
2010,19169,"$49,192",18.5
2009,19169,"$48,165",17.3
2008,19169,"$50,265",17.8
2007,19169,"$49,104",14.4
2006,19169,"$44,698",16.3
2005,19169,"$42,414",17.6
2004,19169,"$43,328",11.7
2003,19169,"$42,298",9.9
2002,19169,"$41,671",9.7
2001,19169,"$42,029",8.7
2000,19169,"$42,911",8.2
1999,19169,"$41,242",7.3
1998,19169,"$43,220",8.3
1997,19169,"$40,851",9.1
1996,19169,NA,NA
1995,19169,"$36,318",9.6
1993,19169,"$34,024",10.4
1989,19169,"$29,560",9.7
2015,19171,"$59,226",11.2
2014,19171,"$54,957",12.9
2013,19171,"$53,844",11.5
2012,19171,"$47,799",13.8
2011,19171,"$50,034",10.9
2010,19171,"$48,833",12.2
2009,19171,"$45,564",10.5
2008,19171,"$47,298",10.7
2007,19171,"$44,734",10.8
2006,19171,"$43,655",10.4
2005,19171,"$45,719",9.7
2004,19171,"$42,580",9.7
2003,19171,"$39,052",8.8
2002,19171,"$38,676",8.7
2001,19171,"$38,258",8.1
2000,19171,"$38,609",8.4
1999,19171,"$37,061",8.2
1998,19171,"$36,063",8.5
1997,19171,"$34,794",9.2
1996,19171,NA,NA
1995,19171,"$32,659",8.9
1993,19171,"$29,251",10.5
1989,19171,"$24,590",10.1
2015,19173,"$46,466",14.7
2014,19173,"$46,501",13.1
2013,19173,"$45,009",14.1
2012,19173,"$44,939",14.1
2011,19173,"$43,155",13.4
2010,19173,"$42,768",13.4
2009,19173,"$39,727",14.2
2008,19173,"$39,792",14.4
2007,19173,"$38,920",11.1
2006,19173,"$36,223",12
2005,19173,"$35,835",13
2004,19173,"$35,468",11.6
2003,19173,"$32,404",10.7
2002,19173,"$31,732",12.7
2001,19173,"$31,748",12.1
2000,19173,"$32,375",12
1999,19173,"$30,651",11.3
1998,19173,"$28,500",15.1
1997,19173,"$27,341",15.7
1996,19173,NA,NA
1995,19173,"$23,191",15.2
1993,19173,"$21,644",16
1989,19173,"$17,882",17.2
2015,19175,"$45,010",14.3
2014,19175,"$44,905",12.8
2013,19175,"$43,357",13.5
2012,19175,"$42,430",14.8
2011,19175,"$39,922",14.5
2010,19175,"$39,977",15.3
2009,19175,"$41,167",14.2
2008,19175,"$40,652",13.8
2007,19175,"$40,704",13.3
2006,19175,"$35,986",14.3
2005,19175,"$36,916",13.3
2004,19175,"$35,436",12.3
2003,19175,"$32,838",11
2002,19175,"$32,784",11.4
2001,19175,"$32,402",10.3
2000,19175,"$33,473",10.1
1999,19175,"$31,922",10
1998,19175,"$31,648",11.5
1997,19175,"$29,928",12.8
1996,19175,NA,NA
1995,19175,"$26,726",13.3
1993,19175,"$25,378",14.2
1989,19175,"$22,265",13.5
2015,19177,"$43,653",15.8
2014,19177,"$42,555",14.4
2013,19177,"$43,019",16.2
2012,19177,"$42,183",16.1
2011,19177,"$39,719",16.3
2010,19177,"$37,833",16.4
2009,19177,"$37,544",17.8
2008,19177,"$38,207",14.3
2007,19177,"$38,855",13.3
2006,19177,"$35,472",13.9
2005,19177,"$38,792",14
2004,19177,"$34,361",12.6
2003,19177,"$32,172",11.3
2002,19177,"$31,610",12.4
2001,19177,"$31,425",11.7
2000,19177,"$32,243",12.1
1999,19177,"$30,834",10.8
1998,19177,"$30,388",12.6
1997,19177,"$29,383",13.4
1996,19177,NA,NA
1995,19177,"$25,266",13
1993,19177,"$23,358",13.8
1989,19177,"$19,377",15.5
2015,19179,"$44,738",16
2014,19179,"$42,414",16.7
2013,19179,"$40,629",19.9
2012,19179,"$41,547",16.8
2011,19179,"$39,999",18.9
2010,19179,"$38,569",17.4
2009,19179,"$39,941",16.7
2008,19179,"$40,202",15.2
2007,19179,"$38,375",17.7
2006,19179,"$37,778",14.8
2005,19179,"$34,098",14.7
2004,19179,"$36,073",14.3
2003,19179,"$34,515",12.2
2002,19179,"$32,769",12.5
2001,19179,"$32,269",11.9
2000,19179,"$33,177",12.2
1999,19179,"$32,058",12
1998,19179,"$31,498",13.4
1997,19179,"$29,856",14.5
1996,19179,NA,NA
1995,19179,"$27,618",14
1993,19179,"$25,577",15.1
1989,19179,"$22,423",14.2
2015,19181,"$67,728",7.8
2014,19181,"$67,342",6.3
2013,19181,"$66,328",7
2012,19181,"$63,310",9.1
2011,19181,"$62,688",6.5
2010,19181,"$62,036",7.4
2009,19181,"$60,253",7.2
2008,19181,"$62,317",6.8
2007,19181,"$61,688",6.9
2006,19181,"$58,100",6.3
2005,19181,"$53,329",6.5
2004,19181,"$56,594",6.8
2003,19181,"$53,548",6
2002,19181,"$52,587",5.7
2001,19181,"$50,974",5.4
2000,19181,"$51,426",5.4
1999,19181,"$49,643",5.4
1998,19181,"$48,238",5.9
1997,19181,"$46,404",6.3
1996,19181,NA,NA
1995,19181,"$42,736",6
1993,19181,"$39,356",7.3
1989,19181,"$32,635",6.8
2015,19183,"$55,283",10.9
2014,19183,"$56,243",10.2
2013,19183,"$54,480",9.3
2012,19183,"$53,888",9.7
2011,19183,"$50,559",11.4
2010,19183,"$47,118",10
2009,19183,"$49,760",10.9
2008,19183,"$50,130",9.2
2007,19183,"$50,265",8.2
2006,19183,"$46,265",9.9
2005,19183,"$42,756",10.3
2004,19183,"$44,005",8.5
2003,19183,"$41,765",7.6
2002,19183,"$40,833",8
2001,19183,"$40,398",7.4
2000,19183,"$40,464",7.3
1999,19183,"$38,591",7.8
1998,19183,"$37,508",8.9
1997,19183,"$36,470",9.3
1996,19183,NA,NA
1995,19183,"$33,248",9.1
1993,19183,"$30,894",9.8
1989,19183,"$24,842",10.5
2015,19185,"$44,381",16.4
2014,19185,"$42,006",16.7
2013,19185,"$38,981",14.2
2012,19185,"$39,060",17.6
2011,19185,"$37,662",17.2
2010,19185,"$35,867",16.8
2009,19185,"$35,092",16.6
2008,19185,"$35,563",16.3
2007,19185,"$34,223",15.6
2006,19185,"$34,010",14.8
2005,19185,"$33,788",15
2004,19185,"$32,637",13.6
2003,19185,"$30,294",12.5
2002,19185,"$29,722",14.2
2001,19185,"$29,370",13.2
2000,19185,"$30,116",14.1
1999,19185,"$28,619",14.3
1998,19185,"$27,018",15.9
1997,19185,"$25,699",15.6
1996,19185,NA,NA
1995,19185,"$21,614",16.6
1993,19185,"$20,627",16.7
1989,19185,"$18,081",18.1
2015,19187,"$44,922",14.6
2014,19187,"$43,490",16.3
2013,19187,"$45,202",15.9
2012,19187,"$42,444",15.3
2011,19187,"$42,178",15.4
2010,19187,"$39,565",16.5
2009,19187,"$40,501",15
2008,19187,"$41,568",13.7
2007,19187,"$42,864",13.3
2006,19187,"$39,071",13.1
2005,19187,"$39,203",13.6
2004,19187,"$38,524",12.4
2003,19187,"$37,140",10.8
2002,19187,"$35,814",11.2
2001,19187,"$35,479",10.5
2000,19187,"$35,999",10.4
1999,19187,"$35,488",9.9
1998,19187,"$35,850",11.4
1997,19187,"$34,353",12.2
1996,19187,NA,NA
1995,19187,"$31,127",12.1
1993,19187,"$28,431",13.3
1989,19187,"$24,140",12.1
2015,19189,"$48,408",10.8
2014,19189,"$50,703",10.4
2013,19189,"$50,383",11.1
2012,19189,"$49,213",10.9
2011,19189,"$47,692",10.5
2010,19189,"$48,933",10.6
2009,19189,"$44,608",10.7
2008,19189,"$43,187",10.2
2007,19189,"$46,340",9.3
2006,19189,"$41,305",9.9
2005,19189,"$39,980",9.5
2004,19189,"$42,772",9.2
2003,19189,"$40,362",8.3
2002,19189,"$39,633",8
2001,19189,"$38,741",7.1
2000,19189,"$39,710",7.5
1999,19189,"$37,771",7.5
1998,19189,"$35,770",8.7
1997,19189,"$34,048",9.5
1996,19189,NA,NA
1995,19189,"$30,449",8.7
1993,19189,"$28,800",9.6
1989,19189,"$25,940",7.4
2015,19191,"$59,096",9.5
2014,19191,"$55,984",9.4
2013,19191,"$53,194",10.9
2012,19191,"$49,889",10
2011,19191,"$49,148",10.7
2010,19191,"$51,248",10
2009,19191,"$48,562",10
2008,19191,"$48,826",10.6
2007,19191,"$46,946",10.4
2006,19191,"$44,243",9
2005,19191,"$45,707",8.9
2004,19191,"$42,218",8.7
2003,19191,"$40,344",7.8
2002,19191,"$39,432",9
2001,19191,"$39,434",8.4
2000,19191,"$40,313",7.4
1999,19191,"$38,428",7.3
1998,19191,"$38,372",8.6
1997,19191,"$35,955",9.7
1996,19191,NA,NA
1995,19191,"$32,200",9.7
1993,19191,"$29,901",11.1
1989,19191,"$26,003",11.6
2015,19193,"$50,774",14
2014,19193,"$45,641",15.2
2013,19193,"$45,678",16.5
2012,19193,"$43,163",16.5
2011,19193,"$43,362",16.7
2010,19193,"$42,672",15.1
2009,19193,"$43,820",14.7
2008,19193,"$43,616",14.2
2007,19193,"$44,494",14.3
2006,19193,"$41,690",13.7
2005,19193,"$41,032",14.6
2004,19193,"$38,790",13.4
2003,19193,"$38,133",11.2
2002,19193,"$38,156",10.8
2001,19193,"$38,464",9.6
2000,19193,"$39,632",9.4
1999,19193,"$38,062",9.4
1998,19193,"$37,469",10.5
1997,19193,"$36,357",10.7
1996,19193,NA,NA
1995,19193,"$32,959",10.7
1993,19193,"$29,977",13
1989,19193,"$24,409",12.7
2015,19195,"$50,761",10.9
2014,19195,"$50,286",11
2013,19195,"$49,605",10.9
2012,19195,"$48,382",10.2
2011,19195,"$48,718",11
2010,19195,"$46,384",11.6
2009,19195,"$49,371",9.2
2008,19195,"$48,580",9.1
2007,19195,"$44,391",9
2006,19195,"$42,226",8.6
2005,19195,"$40,842",8.6
2004,19195,"$40,251",8
2003,19195,"$37,120",7.2
2002,19195,"$37,122",7.5
2001,19195,"$37,209",7.1
2000,19195,"$37,452",7
1999,19195,"$35,944",6.8
1998,19195,"$35,612",8.1
1997,19195,"$34,024",8.5
1996,19195,NA,NA
1995,19195,"$29,919",8.3
1993,19195,"$27,230",10.2
1989,19195,"$24,387",9.3
2015,19197,"$49,882",12.6
2014,19197,"$50,108",12
2013,19197,"$49,369",10.6
2012,19197,"$47,677",11.8
2011,19197,"$43,647",11.8
2010,19197,"$44,456",11.3
2009,19197,"$47,130",10.2
2008,19197,"$46,068",10.2
2007,19197,"$43,560",11.1
2006,19197,"$41,656",9.9
2005,19197,"$41,152",11.4
2004,19197,"$41,773",9.5
2003,19197,"$38,716",8.3
2002,19197,"$37,323",9
2001,19197,"$37,106",7.9
2000,19197,"$37,624",7.7
1999,19197,"$36,082",7.4
1998,19197,"$36,757",8.6
1997,19197,"$35,533",8.8
1996,19197,NA,NA
1995,19197,"$31,940",8.7
1993,19197,"$28,814",10.4
1989,19197,"$24,704",9.5
2015,20000,"$53,802",12.9
2014,20000,"$52,392",13.5
2013,20000,"$50,892",13.9
2012,20000,"$50,140",14
2011,20000,"$48,844",13.8
2010,20000,"$47,888",13.5
2009,20000,"$47,709",13.2
2008,20000,"$50,174",11.3
2007,20000,"$47,341",11.2
2006,20000,"$45,369",12.2
2005,20000,"$42,861",11.7
2004,20000,"$41,664",11.1
2003,20000,"$43,113",10.4
2002,20000,"$42,104",10
2001,20000,"$42,081",9.5
2000,20000,"$41,150",8.9
1999,20000,"$39,726",10.2
1998,20000,"$38,553",10.5
1997,20000,"$36,488",10.9
1996,20000,"$33,610",10.8
1995,20000,"$32,114",11
1993,20000,"$29,544",12.2
1989,20000,"$26,924",10.8
2015,20001,"$41,604",18.9
2014,20001,"$39,196",18.2
2013,20001,"$40,073",17.5
2012,20001,"$37,952",19
2011,20001,"$37,353",18.7
2010,20001,"$39,662",18.4
2009,20001,"$38,169",16.2
2008,20001,"$37,919",15.2
2007,20001,"$36,702",15.9
2006,20001,"$38,730",15.4
2005,20001,"$34,106",15.6
2004,20001,"$33,459",14.6
2003,20001,"$32,416",14
2002,20001,"$31,307",13.8
2001,20001,"$31,600",13.5
2000,20001,"$32,416",12.7
1999,20001,"$31,155",14.7
1998,20001,"$30,854",14.7
1997,20001,"$30,171",15
1996,20001,NA,NA
1995,20001,"$26,993",15.3
1993,20001,"$25,210",16.7
1989,20001,"$22,063",14.9
2015,20003,"$47,267",14
2014,20003,"$45,368",14.3
2013,20003,"$42,386",15.4
2012,20003,"$42,424",15.3
2011,20003,"$42,185",14.5
2010,20003,"$41,054",14.6
2009,20003,"$41,040",13.9
2008,20003,"$41,825",13.7
2007,20003,"$40,330",12.3
2006,20003,"$38,465",14.5
2005,20003,"$37,384",13.9
2004,20003,"$36,715",12.4
2003,20003,"$35,002",12.1
2002,20003,"$34,250",11.6
2001,20003,"$33,897",11.6
2000,20003,"$34,035",12
1999,20003,"$32,140",13.7
1998,20003,"$31,114",13.7
1997,20003,"$30,776",12.9
1996,20003,NA,NA
1995,20003,"$26,698",12.9
1993,20003,"$24,430",13.8
1989,20003,"$20,702",13.3
2015,20005,"$46,110",16.6
2014,20005,"$44,199",17.4
2013,20005,"$44,180",17.9
2012,20005,"$43,253",17.2
2011,20005,"$42,131",17.1
2010,20005,"$41,659",15.6
2009,20005,"$43,685",15
2008,20005,"$42,788",13.6
2007,20005,"$39,743",14.3
2006,20005,"$39,050",13.7
2005,20005,"$38,574",14.1
2004,20005,"$37,061",12.8
2003,20005,"$36,022",11.8
2002,20005,"$35,515",11.5
2001,20005,"$35,402",11.3
2000,20005,"$35,784",11.3
1999,20005,"$34,341",13.3
1998,20005,"$34,406",13.8
1997,20005,"$32,515",14.6
1996,20005,NA,NA
1995,20005,"$29,810",13.6
1993,20005,"$27,704",15
1989,20005,"$24,800",13.1
2015,20007,"$54,176",11.1
2014,20007,"$51,676",12.4
2013,20007,"$50,097",12.7
2012,20007,"$47,811",11.1
2011,20007,"$44,118",10.7
2010,20007,"$42,565",12.5
2009,20007,"$42,319",11.9
2008,20007,"$42,534",11.5
2007,20007,"$40,389",11.6
2006,20007,"$38,451",12.6
2005,20007,"$36,355",11.9
2004,20007,"$36,075",10.9
2003,20007,"$35,331",11.4
2002,20007,"$33,688",11.8
2001,20007,"$33,357",12
2000,20007,"$33,828",11
1999,20007,"$32,368",12.2
1998,20007,"$30,719",13
1997,20007,"$30,317",12.4
1996,20007,NA,NA
1995,20007,"$27,201",11.5
1993,20007,"$26,921",8.7
1989,20007,"$22,771",9.5
2015,20009,"$50,558",14.4
2014,20009,"$46,942",17.8
2013,20009,"$42,464",15
2012,20009,"$43,371",15.2
2011,20009,"$42,183",15.7
2010,20009,"$43,675",13.3
2009,20009,"$42,558",14
2008,20009,"$42,889",14.6
2007,20009,"$40,454",12.4
2006,20009,"$37,661",14.1
2005,20009,"$36,329",14.6
2004,20009,"$35,431",12.9
2003,20009,"$34,423",12.4
2002,20009,"$33,556",12.2
2001,20009,"$33,543",11.7
2000,20009,"$33,924",10.9
1999,20009,"$32,635",13
1998,20009,"$33,973",12.3
1997,20009,"$33,079",12.5
1996,20009,NA,NA
1995,20009,"$29,991",13
1993,20009,"$28,176",14.1
1989,20009,"$24,786",12
2015,20011,"$39,609",18.2
2014,20011,"$38,430",18.4
2013,20011,"$35,990",19.4
2012,20011,"$37,057",20.9
2011,20011,"$35,805",20.4
2010,20011,"$37,192",15.9
2009,20011,"$36,113",17.5
2008,20011,"$37,575",15.6
2007,20011,"$37,672",16.3
2006,20011,"$33,824",16.6
2005,20011,"$33,705",15.4
2004,20011,"$32,584",15.2
2003,20011,"$32,400",14.3
2002,20011,"$31,433",14.6
2001,20011,"$31,237",14
2000,20011,"$31,924",13.3
1999,20011,"$30,410",15.9
1998,20011,"$29,705",17.9
1997,20011,"$28,362",17.6
1996,20011,NA,NA
1995,20011,"$25,191",17.8
1993,20011,"$23,925",19.2
1989,20011,"$21,094",16.4
2015,20013,"$46,884",14.9
2014,20013,"$45,781",17.3
2013,20013,"$41,426",14.7
2012,20013,"$42,256",17.3
2011,20013,"$40,424",16.6
2010,20013,"$40,464",18.4
2009,20013,"$38,599",16
2008,20013,"$38,162",15.7
2007,20013,"$38,398",12.1
2006,20013,"$37,435",15.2
2005,20013,"$34,340",14.9
2004,20013,"$35,066",13.4
2003,20013,"$33,565",12.8
2002,20013,"$32,820",12.6
2001,20013,"$32,766",12.9
2000,20013,"$33,145",12.4
1999,20013,"$31,691",14.4
1998,20013,"$31,429",14.9
1997,20013,"$30,260",15.3
1996,20013,NA,NA
1995,20013,"$27,646",16.4
1993,20013,"$24,267",18.8
1989,20013,"$20,729",17.2
2015,20015,"$61,473",10.6
2014,20015,"$60,123",11.3
2013,20015,"$56,456",11.3
2012,20015,"$58,031",9.4
2011,20015,"$53,217",10.8
2010,20015,"$55,182",9.1
2009,20015,"$54,165",9.3
2008,20015,"$57,678",8.7
2007,20015,"$56,372",7.9
2006,20015,"$51,254",10
2005,20015,"$49,091",9.4
2004,20015,"$49,599",9.4
2003,20015,"$48,208",8.4
2002,20015,"$47,877",7.8
2001,20015,"$47,719",7.1
2000,20015,"$48,336",7.2
1999,20015,"$46,683",8.1
1998,20015,"$47,894",7.8
1997,20015,"$44,998",8.1
1996,20015,NA,NA
1995,20015,"$41,667",8.3
1993,20015,"$37,127",8.9
1989,20015,"$30,988",7.8
2015,20017,"$48,911",12.7
2014,20017,"$47,025",13.2
2013,20017,"$44,300",11.6
2012,20017,"$42,940",12.7
2011,20017,"$41,217",13.8
2010,20017,"$39,683",13.1
2009,20017,"$38,229",14.6
2008,20017,"$39,788",12.3
2007,20017,"$39,898",10.4
2006,20017,"$37,691",11.5
2005,20017,"$34,634",11
2004,20017,"$34,432",10.6
2003,20017,"$32,716",10.4
2002,20017,"$32,605",12.4
2001,20017,"$33,117",12.6
2000,20017,"$33,726",10.9
1999,20017,"$32,337",11.7
1998,20017,"$31,014",14.8
1997,20017,"$29,129",16
1996,20017,NA,NA
1995,20017,"$24,863",14.9
1993,20017,"$24,486",15
1989,20017,"$21,376",13.7
2015,20019,"$42,324",16.8
2014,20019,"$39,120",16.4
2013,20019,"$38,973",15.8
2012,20019,"$35,714",17.9
2011,20019,"$35,952",19.3
2010,20019,"$34,772",15.6
2009,20019,"$34,874",15.8
2008,20019,"$35,460",14.4
2007,20019,"$33,140",13.6
2006,20019,"$32,399",15.1
2005,20019,"$32,658",16
2004,20019,"$30,674",14.4
2003,20019,"$30,507",13.8
2002,20019,"$29,656",15
2001,20019,"$28,964",15
2000,20019,"$29,463",14.9
1999,20019,"$27,996",16.9
1998,20019,"$25,736",19.8
1997,20019,"$24,358",18.6
1996,20019,NA,NA
1995,20019,"$20,373",18.9
1993,20019,"$19,715",20.4
1989,20019,"$17,600",22.3
2015,20021,"$39,842",18
2014,20021,"$40,686",17.4
2013,20021,"$40,310",18.9
2012,20021,"$39,938",18.6
2011,20021,"$39,696",17.6
2010,20021,"$36,204",20.1
2009,20021,"$35,201",18.4
2008,20021,"$37,621",16.6
2007,20021,"$38,226",13
2006,20021,"$34,592",18.7
2005,20021,"$32,394",17.1
2004,20021,"$33,151",15.6
2003,20021,"$32,185",14.6
2002,20021,"$31,027",14.8
2001,20021,"$30,891",14.5
2000,20021,"$31,424",14
1999,20021,"$30,124",15.7
1998,20021,"$29,322",17.2
1997,20021,"$27,729",17.2
1996,20021,NA,NA
1995,20021,"$25,149",17.5
1993,20021,"$23,044",20.2
1989,20021,"$19,992",18.7
2015,20023,"$44,111",12.3
2014,20023,"$41,797",11.5
2013,20023,"$39,317",12.5
2012,20023,"$40,810",11.3
2011,20023,"$36,835",12.3
2010,20023,"$35,730",12.6
2009,20023,"$35,478",13
2008,20023,"$37,413",10.4
2007,20023,"$32,477",10.3
2006,20023,"$28,801",14
2005,20023,"$28,437",11.1
2004,20023,"$25,797",10
2003,20023,"$28,175",9.8
2002,20023,"$28,276",12
2001,20023,"$30,690",12.7
2000,20023,"$31,685",11.5
1999,20023,"$31,185",11.9
1998,20023,"$29,760",13.3
1997,20023,"$29,484",11.4
1996,20023,NA,NA
1995,20023,"$27,207",11.8
1993,20023,"$26,059",10.8
1989,20023,"$23,129",11
2015,20025,"$50,392",12
2014,20025,"$47,650",13
2013,20025,"$42,866",12.3
2012,20025,"$43,310",12.9
2011,20025,"$42,171",12.4
2010,20025,"$41,715",11.2
2009,20025,"$40,253",12.6
2008,20025,"$41,482",12.4
2007,20025,"$39,336",12.1
2006,20025,"$37,899",12.4
2005,20025,"$33,604",12.4
2004,20025,"$33,930",11.1
2003,20025,"$34,592",10.5
2002,20025,"$34,067",10.7
2001,20025,"$34,819",11.7
2000,20025,"$35,774",9.9
1999,20025,"$34,955",10.8
1998,20025,"$35,623",9.6
1997,20025,"$33,987",9.7
1996,20025,NA,NA
1995,20025,"$31,355",7.6
1993,20025,"$30,044",8.4
1989,20025,"$26,378",8.6
2015,20027,"$51,351",11.1
2014,20027,"$53,131",10.9
2013,20027,"$48,178",11.9
2012,20027,"$47,736",11.2
2011,20027,"$47,692",12.2
2010,20027,"$46,421",11.6
2009,20027,"$44,454",11.5
2008,20027,"$43,045",11.1
