"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,25,2005,"37",297673,289182,8491,2.85245890624947
1,25,2005,"38",21466,19930,1536,7.15550172365601
1,25,2005,"39",368683,386691,18008,4.88441289671615
1,25,2005,"40",124953,121461,3492,2.79465078869655
1,25,2005,"41",134760,116007,18753,13.9158504007124
1,25,2005,"42",360529,381782,21253,5.89494881133002
1,25,2005,"44",32773,32782,9,0.0274616300003051
1,25,2005,"45",140935,140281,654,0.464043708092383
1,25,2005,"46",25320,26845,1525,6.02290679304897
1,25,2005,"47",212527,199903,12624,5.93995115914684
1,25,2005,"48",881720,847610,34110,3.86857505784149
1,25,2005,"49",113857,108129,5728,5.03087205881061
1,25,2005,"50",17938,18164,226,1.25989519455904
1,25,2005,"51",259822,242493,17329,6.66956608755225
1,25,2005,"53",224650,207502,17148,7.63320721121745
1,25,2005,"54",60139,52714,7425,12.3463975124295
1,25,2005,"55",184095,182652,1443,0.783834433308889
1,25,2005,"56",18196,16551,1645,9.04044845020884
1,30,2005,"01",145987,145535,452,0.309616609698124
1,30,2005,"02",23072,22431,641,2.77825936199723
1,30,2005,"04",218205,201856,16349,7.49249558901033
1,30,2005,"05",89744,87533,2211,2.46367445177393
1,30,2005,"06",1371894,1308978,62916,4.58606860296787
1,30,2005,"08",183004,176714,6290,3.4370833424406
1,30,2005,"09",108528,106294,2234,2.05845496093174
1,30,2005,"10",26741,25647,1094,4.0910960697057
1,30,2005,"11",23791,23586,205,0.861670379555294
1,30,2005,"12",571930,555526,16404,2.86818316926897
1,30,2005,"13",345952,329239,16713,4.83101701970216
1,30,2005,"15",43869,42668,1201,2.73769632314391
1,30,2005,"16",47182,46935,247,0.523504726378704
1,30,2005,"17",454638,438795,15843,3.48475050479722
1,30,2005,"18",209583,206740,2843,1.35650315149607
1,30,2005,"19",89476,90846,1370,1.53113684116411
1,30,2005,"20",88163,87916,247,0.280162880119778
1,30,2005,"21",141651,141793,142,0.100246380187927
1,30,2005,"22",136673,141612,4939,3.61373497325734
1,30,2005,"23",38702,37685,1017,2.6277711746163
1,30,2005,"24",179567,175606,3961,2.20586187885302
1,30,2005,"25",213274,205037,8237,3.86216791545148
1,30,2005,"26",329079,320806,8273,2.5139860033609
1,30,2005,"27",167798,165658,2140,1.2753429719067
1,30,2005,"28",90607,91081,474,0.523138388866202
1,30,2005,"29",182977,181583,1394,0.761844384813392
1,30,2005,"30",26695,27625,930,3.48379846413186
1,30,2005,"31",56582,57891,1309,2.31345657629635
1,30,2005,"32",92843,90910,1933,2.08200941374148
1,30,2005,"33",40945,39555,1390,3.39479789962144
1,30,2005,"34",296926,284437,12489,4.20609848918586
1,30,2005,"35",60365,58308,2057,3.40760374389133
1,30,2005,"36",645104,623130,21974,3.40627247699596
1,30,2005,"37",314361,310399,3962,1.26033445624616
1,30,2005,"38",18310,19767,1457,7.95740032768979
1,30,2005,"39",360906,352679,8227,2.27954093309615
1,30,2005,"40",112631,114798,2167,1.92398185224317
1,30,2005,"41",126637,124753,1884,1.48771686000142
1,30,2005,"42",375739,365769,9970,2.65343762558585
1,30,2005,"44",33225,32079,1146,3.44920993227991
1,30,2005,"45",139950,138182,1768,1.26330832440157
1,30,2005,"46",22680,22869,189,0.833333333333333
1,30,2005,"47",204301,201643,2658,1.3010215319553
1,30,2005,"48",859901,832317,27584,3.20781113174656
1,30,2005,"49",84678,93420,8742,10.323814922412
1,30,2005,"50",18032,17818,214,1.18677905944987
1,30,2005,"51",264831,260074,4757,1.79623986617881
1,30,2005,"53",220806,213407,7399,3.35090531960182
1,30,2005,"54",56945,57048,103,0.180876284133813
1,30,2005,"55",176110,175883,227,0.128896712282096
1,30,2005,"56",15765,15922,157,0.995876942594355
